Date,GoldPriceUSD,GEPUCURRENT,WUIGLOBALSMPAVG,GoldReturn
30-09-2000,273.6000061035156,61.06075534992348,12189.6,-0.017032417
31-10-2000,264.8999938964844,69.01445332973496,12462.73,-0.032314835
30-11-2000,270.1000061035156,108.8668554791862,12462.73,0.019439910158618977
31-12-2000,272,102.12252855460616,12462.73,0.007009783
31-01-2001,265.6000061035156,99.86616142146153,13424.47,-0.023810626
28-02-2001,266.79998779296875,100.08331018942916,13424.47,0.004507828
31-03-2001,257.8999938964844,113.13691663442933,13424.47,-0.033927379
30-04-2001,264,109.48502010351876,13419.92,0.023377213925227566
31-05-2001,265.29998779296875,84.89173481049535,13419.92,0.004912112
30-06-2001,270.6000061035156,73.84038384185591,13419.92,0.019780523
31-07-2001,266.20001220703125,99.93903747,13656.92,-0.016393786
31-08-2001,274.3999938964844,85.14933969063486,13656.92,0.030338921790970624
30-09-2001,292.3999938964844,179.7008902252825,13656.92,0.063535833
31-10-2001,279.5,171.15106461185007,17052.76,-0.045120414
30-11-2001,273.8999938964844,125.44676864282634,17052.76,-0.020239239
31-12-2001,278.70001220703125,107.85039113801336,17052.76,0.017372924302503295
31-01-2002,282.1000061035156,106.49407479174198,17898.1,0.012125661356152014
28-02-2002,296.70001220703125,89.84615516929186,17898.1,0.050459929
31-03-2002,302.6000061035156,78.91291778192023,17898.1,0.019690253085049857
30-04-2002,308.8999938964844,83.54069813488846,12716.75,0.020605758641164915
31-05-2002,326.5,79.04566352585508,12716.75,0.055412369
30-06-2002,313.5,94.31578296220269,12716.75,-0.040630589
31-07-2002,303.20001220703125,100.24595287434695,10474.98,-0.033406666
31-08-2002,312.3999938964844,106.8154030398644,10474.98,0.029891704399155714
30-09-2002,323.8999938964844,122.72437862285088,10474.98,0.036150409
31-10-2002,318,117.21742001043393,15357.44,-0.018383425
30-11-2002,316.79998779296875,122.13437953134864,15357.44,-0.003780761
31-12-2002,347.6000061035156,118.56196575483986,15357.44,0.09278179
31-01-2003,368.29998779296875,127.24341007801966,15814.66,0.057845379
28-02-2003,350.20001220703125,135.76521227802962,15814.66,-0.050393336
31-03-2003,335.8999938964844,169.1943159555059,15814.66,-0.041690976
30-04-2003,339.1000061035156,135.17187966426576,22181.34,0.009481589
31-05-2003,364.5,106.08667170328285,22181.34,0.072231484
30-06-2003,346,88.79703940736057,22181.34,-0.052087776
31-07-2003,354,79.48275620209556,14339.11,0.022858138076050184
31-08-2003,375.70001220703125,68.99711428223021,14339.11,0.059494072
30-09-2003,385.3999938964844,81.23829130622514,14339.11,0.025490755
31-10-2003,384.5,76.40648019639113,13304.62,-0.002337951
30-11-2003,396.79998779296875,73.13632015928751,13304.62,0.031488556
31-12-2003,415.70001220703125,70.46580222,13304.62,0.046531530976563554
31-01-2004,402.20001220703125,72.52427398117545,12826.97,-0.033014368
29-02-2004,396.3999938964844,71.35231350170459,12826.97,-0.014525721
31-03-2004,427.29998779296875,78.07579383,12826.97,0.075062527
30-04-2004,387,76.37952593292496,14036.94,-0.099061621
31-05-2004,394,91.18032154161192,14036.94,0.017926216268152113
30-06-2004,392.6000061035156,76.78878234180023,14036.94,-0.003559612
31-07-2004,391,73.99727671295335,14326.84,-0.004083737
31-08-2004,410.3999938964844,69.09537553723845,14326.84,0.048424719
30-09-2004,418.70001220703125,78.86788724543656,14326.84,0.020022423
31-10-2004,428.5,89.14455775560131,13994.63,0.023136035858136783
30-11-2004,451.29998779296875,84.41874399323923,13994.63,0.051841542
31-12-2004,437.5,64.94416679459417,13994.63,-0.031055574
31-01-2005,421.79998779296875,57.79903357369477,14116.76,-0.036545467
28-02-2005,436.5,54.311683336821154,14116.76,0.034257136175313216
31-03-2005,428.70001220703125,54.05570978192184,14116.76,-0.018030973
30-04-2005,435,68.68275931911197,12877.17,0.014588629
31-05-2005,416.29998779296875,69.32887760314397,12877.17,-0.043939906
30-06-2005,435.8999938964844,69.97142671,12877.17,0.04600672
31-07-2005,429.8999938964844,61.38955293446964,15711.72,-0.013860236
31-08-2005,433.79998779296875,61.46144403272876,15711.72,0.009030961
30-09-2005,469,92.85685971,15711.72,0.078019198
31-10-2005,465.1000061035156,64.66163730603783,14918.91,-0.008350319
30-11-2005,494.6000061035156,67.36674482998345,14918.91,0.061496918
31-12-2005,517.0999755859375,60.61569412221015,14918.91,0.044486865
31-01-2006,570.7999877929688,68.69735145645119,13605,0.098802632
28-02-2006,561.5999755859375,58.19654294464724,13605,-0.016249055
31-03-2006,581.7999877929688,58.33984677908247,13605,0.035336915840343465
30-04-2006,651.7999877929688,72.89707521050326,16080.32,0.11361102259566509
31-05-2006,642.5,63.114603406659874,16080.32,-0.014370931
30-06-2006,613.5,73.47044074499902,16080.32,-0.046186553
31-07-2006,634.2000122070312,68.01557410840574,13974.32,0.033184117
31-08-2006,625.9000244140625,57.340608655918565,13974.32,-0.013173728
30-09-2006,598.5999755859375,59.25853290166981,13974.32,-0.044597098
31-10-2006,604.0999755859375,60.03257357184695,12467.29,0.009146152
30-11-2006,646.9000244140625,57.193250127990034,12467.29,0.068452054
31-12-2006,635.2000122070312,56.856927466593206,12467.29,-0.018251832
31-01-2007,652,65.53303537535962,13709.51,0.026104633
28-02-2007,669.4000244140625,54.63712565292507,13709.51,0.026337263322132987
31-03-2007,663,63.98963239392168,13709.51,-0.009606835
30-04-2007,680.5,60.517181172340806,11730.96,0.026052831905658165
31-05-2007,661,56.704718296825405,11730.96,-0.029073982
30-06-2007,648.0999755859375,56.92212346209045,11730.96,-0.019708872
