Date,GoldPriceUSD,GEPUCURRENT,WUIGLOBALSMPAVG,GoldReturn
2000-09-30,273.6000061035156,61.06075534992348,12189.6,-0.017032416612427465
2000-10-31,264.8999938964844,69.01445332973496,12462.73,-0.03231483481937164
2000-11-30,270.1000061035156,108.8668554791862,12462.73,0.019439910158618977
2000-12-31,272.0,102.12252855460616,12462.73,0.007009782900183681
2001-01-31,265.6000061035156,99.86616142146153,13424.47,-0.02381062571361482
2001-02-28,266.79998779296875,100.08331018942916,13424.47,0.004507827705594715
2001-03-31,257.8999938964844,113.13691663442933,13424.47,-0.03392737906688861
2001-04-30,264.0,109.48502010351876,13419.92,0.023377213925227566
2001-05-31,265.29998779296875,84.89173481049535,13419.92,0.004912111985197232
2001-06-30,270.6000061035156,73.84038384185591,13419.92,0.01978052316066427
2001-07-31,266.20001220703125,99.9390374729151,13656.92,-0.016393786474551017
2001-08-31,274.3999938964844,85.14933969063486,13656.92,0.030338921790970624
2001-09-30,292.3999938964844,179.7008902252825,13656.92,0.06353583339316966
2001-10-31,279.5,171.15106461185007,17052.76,-0.04512041440661291
2001-11-30,273.8999938964844,125.44676864282634,17052.76,-0.020239238609858903
2001-12-31,278.70001220703125,107.85039113801336,17052.76,0.017372924302503295
2002-01-31,282.1000061035156,106.49407479174198,17898.1,0.012125661356152014
2002-02-28,296.70001220703125,89.84615516929186,17898.1,0.05045992879549829
2002-03-31,302.6000061035156,78.91291778192023,17898.1,0.019690253085049857
2002-04-30,308.8999938964844,83.54069813488846,12716.75,0.020605758641164915
2002-05-31,326.5,79.04566352585508,12716.75,0.05541236855082213
2002-06-30,313.5,94.31578296220269,12716.75,-0.040630588643510344
2002-07-31,303.20001220703125,100.24595287434695,10474.98,-0.033406666044102494
2002-08-31,312.3999938964844,106.8154030398644,10474.98,0.029891704399155714
2002-09-30,323.8999938964844,122.72437862285088,10474.98,0.03615040890542752
2002-10-31,318.0,117.21742001043393,15357.44,-0.018383424553279362
2002-11-30,316.79998779296875,122.13437953134864,15357.44,-0.003780761372202453
2002-12-31,347.6000061035156,118.56196575483986,15357.44,0.09278178954228322
2003-01-31,368.29998779296875,127.24341007801966,15814.66,0.05784537935650073
2003-02-28,350.20001220703125,135.76521227802962,15814.66,-0.05039333559769377
2003-03-31,335.8999938964844,169.1943159555059,15814.66,-0.0416909762614506
2003-04-30,339.1000061035156,135.17187966426576,22181.34,0.009481588683140307
2003-05-31,364.5,106.08667170328285,22181.34,0.07223148431795876
2003-06-30,346.0,88.79703940736057,22181.34,-0.052087776390988536
2003-07-31,354.0,79.48275620209556,14339.11,0.022858138076050184
2003-08-31,375.70001220703125,68.99711428223021,14339.11,0.05949407193758094
2003-09-30,385.3999938964844,81.23829130622514,14339.11,0.02549075507207713
2003-10-31,384.5,76.40648019639113,13304.62,-0.002337951197733768
2003-11-30,396.79998779296875,73.13632015928751,13304.62,0.0314885557013309
2003-12-31,415.70001220703125,70.465802219965,13304.62,0.046531530976563554
2004-01-31,402.20001220703125,72.52427398117545,12826.97,-0.03301436793439235
2004-02-29,396.3999938964844,71.35231350170459,12826.97,-0.014525720630733293
2004-03-31,427.29998779296875,78.0757938347665,12826.97,0.07506252702368724
2004-04-30,387.0,76.37952593292496,14036.94,-0.09906162105237297
2004-05-31,394.0,91.18032154161192,14036.94,0.017926216268152113
2004-06-30,392.6000061035156,76.78878234180023,14036.94,-0.0035596119091757935
2004-07-31,391.0,73.99727671295335,14326.84,-0.0040837374033921734
2004-08-31,410.3999938964844,69.09537553723845,14326.84,0.04842471899907978
2004-09-30,418.70001220703125,78.86788724543656,14326.84,0.0200224231952521
2004-10-31,428.5,89.14455775560131,13994.63,0.023136035858136783
2004-11-30,451.29998779296875,84.41874399323923,13994.63,0.05184154174652499
2004-12-31,437.5,64.94416679459417,13994.63,-0.031055573986690337
2005-01-31,421.79998779296875,57.79903357369477,14116.76,-0.03654546669332541
2005-02-28,436.5,54.311683336821154,14116.76,0.034257136175313216
2005-03-31,428.70001220703125,54.05570978192184,14116.76,-0.018030973201195292
2005-04-30,435.0,68.68275931911197,12877.17,0.01458862901022255
2005-05-31,416.29998779296875,69.32887760314397,12877.17,-0.04393990621043375
2005-06-30,435.8999938964844,69.9714267094713,12877.17,0.04600672036399584
2005-07-31,429.8999938964844,61.38955293446964,15711.72,-0.013860235937534623
2005-08-31,433.79998779296875,61.46144403272876,15711.72,0.009030960948294134
2005-09-30,469.0,92.8568597099417,15711.72,0.07801919819327353
2005-10-31,465.1000061035156,64.66163730603783,14918.91,-0.008350319093210181
2005-11-30,494.6000061035156,67.36674482998345,14918.91,0.06149691807455313
2005-12-31,517.0999755859375,60.61569412221015,14918.91,0.04448686476112652
2006-01-31,570.7999877929688,68.69735145645119,13605.0,0.09880263202810323
2006-02-28,561.5999755859375,58.19654294464724,13605.0,-0.016249054977585168
2006-03-31,581.7999877929688,58.33984677908247,13605.0,0.035336915840343465
2006-04-30,651.7999877929688,72.89707521050326,16080.32,0.11361102259566509
2006-05-31,642.5,63.114603406659874,16080.32,-0.01437093090590073
2006-06-30,613.5,73.47044074499902,16080.32,-0.046186552618408684
2006-07-31,634.2000122070312,68.01557410840574,13974.32,0.03318411720120119
2006-08-31,625.9000244140625,57.340608655918565,13974.32,-0.013173728415181447
2006-09-30,598.5999755859375,59.25853290166981,13974.32,-0.044597098303658
2006-10-31,604.0999755859375,60.03257357184695,12467.29,0.009146152097424486
2006-11-30,646.9000244140625,57.193250127990034,12467.29,0.06845205405927383
